number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
61,Promethium,Pm,"promethium, Pm","/pro??mi??i?m/, pro-MEE-thee-?m",metallic,61,"group n/a, f-block",6,lanthanide,[145],[Xe] 4f5 6s2,"2, 8, 18, 23, 8, 2",,solid,"1315 K (1042 °C, 1908 °F)","3273 K (3000 °C, 5432 °F)",,,,,,7.13 kJ/mol,289 kJ/mol,,,"3, 2 (a mildly basic oxide)",Pauling scale: 1.13 (?),"1st: 540 kJ/mol, 2nd: 1050 kJ/mol, 3rd: 2150 kJ/mol",199 pm,,double hexagonal close-packed (dhcp),,17.9 W/(m·K),paramagnetic,7440-12-2,"Chien Shiung Wu, Emilio Segrè, Hans Bethe (1942)",Grace Mary Coryell (1945),"iso, NA, half-life, DM, DE (MeV), DP, 145Pm, syn, 17.7 y, ?, 0.163, 145Nd, 146Pm, syn, 5.53 y, ?, 1.472, 146Nd, ??, 1.542, 146Sm, 147Pm, trace, 2.6234 y, ??, 0.224, 147Sm",,,"Charles D. Coryell, Jacob A. Marinsky, Lawrence E. Glendenin, Harold G. Richter (1945)",7.26 g/cm3,empirical: 183 pm,,9.0 µm/(m·K) (at r.t.),est. 0.75 µ?·m (at r.t.),? form: est. 46 GPa,? form: est. 18 GPa,? form: est. 33 GPa,,,? form: est. 0.28,,,,,,,,,,,,,,,,,,,,
62,Samarium,Sm,"samarium, Sm","/s??m??ri?m/, s?-MAIR-ee-?m",silvery white,62,"group n/a, f-block",6,lanthanide,150.36(2),[Xe] 4f6 6s2,"2, 8, 18, 24, 8, 2",,solid,"1345 K (1072 °C, 1962 °F)","2173 K (1900 °C, 3452 °F)",,7.16 g/cm3,,,,8.62 kJ/mol,192 kJ/mol,29.54 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1001, 1106, 1240, (1421), (1675), (2061)","4, 3, 2, 1 (a mildly basic oxide)",Pauling scale: 1.17,"1st: 544.5 kJ/mol, 2nd: 1070 kJ/mol, 3rd: 2260 kJ/mol",198±8 pm,,rhombohedral,,13.3 W/(m·K),paramagnetic,7440-19-9,,,"iso, NA, half-life, DM, DE (MeV), DP, 144Sm, 3.08%, 144Sm is stable with 82 neutrons, 145Sm, syn, 340 d, ?, –, 145Pm, 146Sm, syn, 6.8×107 y, ?, 2.529, 142Nd, 147Sm, 15.00%, 1.06×1011 y, ?, 2.310, 143Nd, 148Sm, 11.25%, 7×1015 y, ?, 1.986, 144Nd, 149Sm, 13.82%, 149Sm is stable with 87 neutrons, 150Sm, 7.37%, 150Sm is stable with 88 neutrons, 151Sm, syn, 90 y, ??, –, 151Eu, 152Sm, 26.74%, 152Sm is stable with 90 neutrons, 153Sm, syn, 46.284 h, ??, –, 153Eu, 154Sm, 22.74%, 154Sm is stable with 92 neutrons",1001,after the mineral samarskite (itself named after Vasili Samarsky-Bykhovets),,7.52 g/cm3,empirical: 180 pm,2130 m/s (at 20 °C),"(r.t.) (?, poly) 12.7 µm/(m·K)","(r.t.) (?, poly) 0.940 µ?·m",? form: 49.7 GPa,? form: 19.5 GPa,? form: 37.8 GPa,,440–600 MPa,? form: 0.274,410–440 MPa,? form,,,,,,,Lecoq de Boisbaudran (1879),,,,,,,,,,,
63,Europium,Eu,"europium, Eu","/j??ro?pi?m/, ew-ROH-pee-?m","silvery white, with a pale yellow tint; but rarely seen without oxide discoloration",63,"group n/a, f-block",6,lanthanide,151.964(1),[Xe] 4f7 6s2,"2, 8, 18, 25, 8, 2",,solid,"1099 K (826 °C, 1519 °F)","1802 K (1529 °C, 2784 °F)",,5.13 g/cm3,,,,9.21 kJ/mol,176 kJ/mol,27.66 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 863, 957, 1072, 1234, 1452, 1796","3, 2, 1 (a mildly basic oxide)",Pauling scale: 1.2,"1st: 547.1 kJ/mol, 2nd: 1085 kJ/mol, 3rd: 2404 kJ/mol",198±6 pm,,body-centered cubic (bcc),,est. 13.9 W/(m·K),paramagnetic,7440-53-1,,,"iso, NA, half-life, DM, DE (MeV), DP, 150Eu, syn, 36.9 y, ?, 2.261, 150Sm, 151Eu, 47.8%, 5×1018 y, ?, 1.9644, 147Pm, 152Eu, syn, 13.54 y, ?, 1.874, 152Sm, ??, 1.819, 152Gd, 153Eu, 52.2%, 153Eu is stable with 90 neutrons, 154Eu, syn, 8.59 y, ??, 1.969, 154Gd, 155Eu, syn, 4.76 y, ??, 0.253, 155Gd",863,after Europe,,5.264 g/cm3,empirical: 180 pm,,poly: 35.0 µm/(m·K) (at r.t.),poly: 0.900 µ?·m (at r.t.),18.2 GPa,7.9 GPa,8.3 GPa,,,0.152,165–200 MPa,,,,,,,,"Eugène-Anatole Demarçay (1896, 1901)",,,,,,,,,,,
64,Gadolinium,Gd,"gadolinium, Gd","/??æd??l?ni?m/, GAD-?-LIN-ee-?m",silvery white,64,"group n/a, f-block",6,lanthanide,157.25(3),[Xe] 4f7 5d1 6s2,"2, 8, 18, 25, 9, 2",,solid,"1585 K (1312 °C, 2394 °F)","3273 K (3000 °C, 5432 °F)",,7.4 g/cm3,,,,10.05 kJ/mol,301.3 kJ/mol,37.03 J/(mol·K),"vapor pressure (calculated), P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1836, 2028, 2267, 2573, 2976, 3535","1, 2, 3 (a mildly basic oxide)",Pauling scale: 1.20,"1st: 593.4 kJ/mol, 2nd: 1170 kJ/mol, 3rd: 1990 kJ/mol",196±6 pm,,hexagonal close-packed (hcp),,10.6 W/(m·K),ferromagnetic-paramagnetic transition at 293.4 K,7440-54-2,Jean Charles Galissard de Marignac (1880),,"iso, NA, half-life, DM, DE (MeV), DP, 148Gd, syn, 75 y, ?, 3.271, 144Sm, 150Gd, syn, 1.8×106 y, ?, 2.808, 146Sm, 152Gd, 0.20%, 1.08×1014 y, ?, 2.205, 148Sm, 154Gd, 2.18%, 154Gd is stable with 90 neutrons, 155Gd, 14.80%, 155Gd is stable with 91 neutrons, 156Gd, 20.47%, 156Gd is stable with 92 neutrons, 157Gd, 15.65%, 157Gd is stable with 93 neutrons, 158Gd, 24.84%, 158Gd is stable with 94 neutrons, 160Gd, 21.86%, 160Gd is stable with 96 neutrons",1836,after the mineral Gadolinite (itself named after Johan Gadolin),Lecoq de Boisbaudran (1886),7.90 g/cm3,empirical: 180 pm,2680 m/s (at 20 °C),? poly: 9.4 µm/(m·K) (at 100 °C),"?, poly: 1.310 µ?·m",? form: 54.8 GPa,? form: 21.8 GPa,? form: 37.9 GPa,,,? form: 0.259,510–950 MPa,,,,,,,,,,,,,,,,,,,
65,Terbium,Tb,"terbium, Tb","/?t??rbi?m/, TUR-bee-?m",silvery white,65,"group n/a, f-block",6,lanthanide,158.92535(2),[Xe] 4f9 6s2,"2, 8, 18, 27, 8, 2",,solid,"1629 K (1356 °C, 2473 °F)","3396 K (3123 °C, 5653 °F)",,7.65 g/cm3,,,,10.15 kJ/mol,391 kJ/mol,28.91 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1789, 1979, (2201), (2505), (2913), (3491)","4, 3, 2, 1 (a weakly basic oxide)",Pauling scale: 1.2 (?),"1st: 565.8 kJ/mol, 2nd: 1110 kJ/mol, 3rd: 2114 kJ/mol",194±5 pm,,hexagonal close-packed (hcp),,11.1 W/(m·K),paramagnetic at 300 K,7440-27-9,,,"iso, NA, half-life, DM, DE (MeV), DP, 157Tb, syn, 71 y, ?, 0.060, 157Gd, 158Tb, syn, 180 y, ?, 1.220, 158Gd, ??, 0.937, 158Dy, 159Tb, 100%, 159Tb is stable with 94 neutrons",1789,"after Ytterby (Sweden), where it was mined",,8.23 g/cm3,empirical: 177 pm,2620 m/s (at 20 °C),"at r.t. ?, poly: 10.3 µm/(m·K)","?, poly: 1.150 µ?·m (at r.t.)",? form: 55.7 GPa,? form: 22.1 GPa,? form: 38.7 GPa,,675–1200 MPa,? form: 0.261,450–865 MPa,,,,,,,,Carl Gustaf Mosander (1842),,,,,,,,,,,
66,Dysprosium,Dy,"dysprosium, Dy","/d?s?pro?zi?m/, dis-PROH-zee-?m",silvery white,66,"group n/a, f-block",6,lanthanide,162.500(1),[Xe] 4f10 6s2,"2, 8, 18, 28, 8, 2",,solid,"1680 K (1407 °C, 2565 °F)","2840 K (2562 °C, 4653 °F)",,8.37 g/cm3,,,,11.06 kJ/mol,280 kJ/mol,27.7 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1378, 1523, (1704), (1954), (2304), (2831)","4, 3, 2, 1 (a weakly basic oxide)",Pauling scale: 1.22,"1st: 573.0 kJ/mol, 2nd: 1130 kJ/mol, 3rd: 2200 kJ/mol",192±7 pm,,hexagonal close-packed (hcp),,10.7 W/(m·K),paramagnetic at 300 K,7429-91-6,Lecoq de Boisbaudran (1886),,"iso, NA, half-life, DM, DE (MeV), DP, 154Dy, syn, 3.0×106 y, ?, 2.947, 150Gd, 156Dy, 0.056%, 156Dy is stable with 90 neutrons, 158Dy, 0.095%, 158Dy is stable with 92 neutrons, 160Dy, 2.329%, 160Dy is stable with 94 neutrons, 161Dy, 18.889%, 161Dy is stable with 95 neutrons, 162Dy, 25.475%, 162Dy is stable with 96 neutrons, 163Dy, 24.896%, 163Dy is stable with 97 neutrons, 164Dy, 28.260%, 164Dy is stable with 98 neutrons",1378,,,8.540 g/cm3,empirical: 178 pm,2710 m/s (at 20 °C),"?, poly: 9.9 µm/(m·K) (r.t.)","?, poly: 926 n?·m (r.t.)",? form: 61.4 GPa,? form: 24.7 GPa,? form: 40.5 GPa,,500–1050 MPa,? form: 0.247,410–550 MPa,,,,,,,,,,,,,,,,,,,
67,Holmium,Ho,"holmium, Ho","/?ho?lmi?m/, HOHL-mee-?m",silvery white,67,"group n/a, f-block",6,lanthanide,164.93033(2),[Xe] 4f11 6s2,"2, 8, 18, 29, 8, 2",,solid,"1734 K (1461 °C, 2662 °F)","2873 K (2600 °C, 4712 °F)",,8.34 g/cm3,,,,17.0 kJ/mol,251 kJ/mol,27.15 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1432, 1584, (1775), (2040), (2410), (2964)","3, 2, 1 (a basic oxide)",Pauling scale: 1.23,"1st: 581.0 kJ/mol, 2nd: 1140 kJ/mol, 3rd: 2204 kJ/mol",192±7 pm,,hexagonal close-packed (hcp),,16.2 W/(m·K),paramagnetic,7440-60-0,Marc Delafontaine (1878),,"iso, NA, half-life, DM, DE (MeV), DP, 163Ho, syn, 4570 y, ?, 0.003, 163Dy, 164Ho, syn, 29 min, ?, 0.987, 164Dy, 165Ho, 100%, 165Ho is stable with 98 neutrons, 166Ho, syn, 26.763 h, ??, 1.855, 166Er, 167Ho, syn, 3.1 h, ??, 1.007, 167Er",1432,,,8.79 g/cm3,empirical: 176 pm,2760 m/s (at 20 °C),poly: 11.2 µm/(m·K) (at r.t.),poly: 814 n?·m (at r.t.),64.8 GPa,26.3 GPa,40.2 GPa,,500–1250 MPa,0.231,410–600 MPa,,,,,,,,,,,,,,,,,,,
68,Erbium,Er,"erbium, Er","/???rbi?m/, UR-bee-?m",silvery white,68,"group n/a, f-block",6,lanthanide,167.259(3),[Xe] 4f12 6s2,"2, 8, 18, 30, 8, 2",,solid,"1802 K (1529 °C, 2784 °F)","3141 K (2868 °C, 5194 °F)",,8.86 g/cm3,,,,19.90 kJ/mol,280 kJ/mol,28.12 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1504, 1663, (1885), (2163), (2552), (3132)","3, 2, 1 (a basic oxide)",Pauling scale: 1.24,"1st: 589.3 kJ/mol, 2nd: 1150 kJ/mol, 3rd: 2194 kJ/mol",189±6 pm,,hexagonal close-packed (hcp),,14.5 W/(m·K),paramagnetic at 300 K,7440-52-0,Carl Gustaf Mosander (1842),,"iso, NA, half-life, DM, DE (MeV), DP, 160Er, syn, 28.58 h, ?, 0.330, 160Ho, 162Er, 0.139%, 162Er is stable with 94 neutrons, 164Er, 1.601%, 164Er is stable with 96 neutrons, 165Er, syn, 10.36 h, ?, 0.376, 165Ho, 166Er, 33.503%, 166Er is stable with 98 neutrons, 167Er, 22.869%, 167Er is stable with 99 neutrons, 168Er, 26.978%, 168Er is stable with 100 neutrons, 169Er, syn, 9.4 d, ??, 0.351, 169Tm, 170Er, 14.910%, 170Er is stable with 102 neutrons, 171Er, syn, 7.516 h, ??, 1.490, 171Tm, 172Er, syn, 49.3 h, ??, 0.891, 172Tm",1504,"after Ytterby (Sweden), where it was mined",,9.066 g/cm3,empirical: 176 pm,2830 m/s (at 20 °C),poly: 12.2 µm/(m·K) (r.t.),poly: 0.860 µ?·m (r.t.),69.9 GPa,28.3 GPa,44.4 GPa,,600–1070 MPa,0.237,430–700 MPa,,,,,,,,,,,,,,,,,,,
69,Thulium,Tm,"thulium, Tm","/??ju?li?m/ or /??u?li?m/, THEW-lee-?m or THOO-lee-?m",silvery gray,69,"group n/a, f-block",6,lanthanide,168.93422(2),[Xe] 4f13 6s2,"2, 8, 18, 31, 8, 2",,solid,"1818 K (1545 °C, 2813 °F)","2223 K (1950 °C, 3542 °F)",,8.56 g/cm3,,,,16.84 kJ/mol,191 kJ/mol,27.03 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1117, 1235, 1381, 1570, (1821), (2217)","2, 3 (a basic oxide)",Pauling scale: 1.25,"1st: 596.7 kJ/mol, 2nd: 1160 kJ/mol, 3rd: 2285 kJ/mol",190±10 pm,,hexagonal close-packed (hcp),,16.9 W/(m·K),paramagnetic (at 300 K),7440-30-4,,,"iso, NA, half-life, DM, DE (MeV), DP, 167Tm, syn, 9.25 d, ?, 0.748, 167Er, 168Tm, syn, 93.1 d, ?, 1.679, 168Er, 169Tm, 100%, 169Tm is stable with 100 neutrons, 170Tm, syn, 128.6 d, ??, 0.968, 170Yb, 171Tm, syn, 1.92 y, ??, 0.096, 171Yb",1117,"after Thule, a mythical region in Scandinavia",,9.32 g/cm3,empirical: 176 pm,,poly: 13.3 µm/(m·K) (at r.t.),poly: 676 n?·m (at r.t.),74.0 GPa,30.5 GPa,44.5 GPa,,470–900 MPa,0.213,470–650 MPa,,,,,,,,Per Teodor Cleve (1879),,,,,,,,,,,
70,Ytterbium,Yb,"ytterbium, Yb","/??t??rbi?m/, i-TUR-bee-?m",silvery white; with a pale yellow tint,70,"group n/a, f-block",6,lanthanide,173.045(10),[Xe] 4f14 6s2,"2, 8, 18, 32, 8, 2",,solid,"1097 K (824 °C, 1515 °F)","1469 K (1196 °C, 2185 °F)",,6.21 g/cm3,,,,7.66 kJ/mol,129 kJ/mol,26.74 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 736, 813, 910, 1047, (1266), (1465)","3, 2, 1 (a basic oxide)",Pauling scale: 1.1 (?),"1st: 603.4 kJ/mol, 2nd: 1174.8 kJ/mol, 3rd: 2417 kJ/mol",187±8 pm,,face-centered cubic (fcc),,38.5 W/(m·K),paramagnetic,7440-64-4,Jean Charles Galissard de Marignac (1878),,"iso, NA, half-life, DM, DE (MeV), DP, 166Yb, syn, 56.7 h, ?, 0.304, 166Tm, 168Yb, 0.126%, 168Yb is stable with 98 neutrons, 169Yb, syn, 32.026 d, ?, 0.909, 169Tm, 170Yb, 3.023%, 170Yb is stable with 100 neutrons, 171Yb, 14.216%, 171Yb is stable with 101 neutrons, 172Yb, 21.754%, 172Yb is stable with 102 neutrons, 173Yb, 16.098%, 173Yb is stable with 103 neutrons, 174Yb, 31.896%, 174Yb is stable with 104 neutrons, 175Yb, syn, 4.185 d, ??, 0.470, 175Lu, 176Yb, 12.887%, 176Yb is stable with 106 neutrons, 177Yb, syn, 1.911 h, ??, 1.399, 177Lu",736,"after Ytterby (Sweden), where it was mined",Georges Urbain (1907),6.90 g/cm3,empirical: 176 pm,1590 m/s (at 20 °C),"?, poly: 26.3 µm/(m·K) (r.t.)","?, poly: 0.250 µ?·m (at r.t.)",? form: 23.9 GPa,? form: 9.9 GPa,? form: 30.5 GPa,,340–440 MPa,? form: 0.207,205–250 MPa,,,,,,,,,,,,,,,,,,,
71,Lutetium,Lu,"lutetium, Lu","/lju??ti??i?m/, lew-TEE-shee-?m",silvery white,71,"group n/a, d-block",6,"lanthanide, sometimes considered a transition metal",174.9668(1),[Xe] 6s2 4f14 5d1,"2, 8, 18, 32, 9, 2",,solid,"1925 K (1652 °C, 3006 °F)","3675 K (3402 °C, 6156 °F)",,9.3 g/cm3,,,,ca. 22 kJ/mol,414 kJ/mol,26.86 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1906, 2103, 2346, (2653), (3072), (3663)","3, 2, 1 (a weakly basic oxide)",Pauling scale: 1.27,"1st: 523.5 kJ/mol, 2nd: 1340 kJ/mol, 3rd: 2022.3 kJ/mol",187±8 pm,,hexagonal close-packed (hcp),,16.4 W/(m·K),paramagnetic,7439-94-3,,Georges Urbain (1906),"iso, NA, half-life, DM, DE (MeV), DP, 173Lu, syn, 1.37 y, ?, 0.671, 173Yb, 174Lu, syn, 3.31 y, ?, 1.374, 174Yb, 175Lu, 97.401%, 175Lu is stable with 104 neutrons, 176Lu, 2.599%, 3.78×1010 y, ??, 1.193, 176Hf",1906,"after Lutetia, Latin for: Paris, in the Roman era",,9.841 g/cm3,empirical: 174 pm,,poly: 9.9 µm/(m·K) (at r.t.),poly: 582 n?·m (at r.t.),68.6 GPa,27.2 GPa,47.6 GPa,,890–1300 MPa,0.261,755–1160 MPa,,,,,,,,Carl Auer von Welsbach (1906),,,,,,,,,,,
72,Hafnium,Hf,"hafnium, Hf","/?hæfni?m/, HAF-nee-?m",steel gray,72,"group 4, d-block",6,transition metal,178.49(2),[Xe] 4f14 5d2 6s2,"2, 8, 18, 32, 10, 2",,solid,"2506 K (2233 °C, 4051 °F)","4876 K (4603 °C, 8317 °F)",,12 g/cm3,,,,27.2 kJ/mol,648 kJ/mol,25.73 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2689, 2954, 3277, 3679, 4194, 4876","4, 3, 2, 1, ?2 (an amphoteric oxide)",Pauling scale: 1.3,"1st: 658.5 kJ/mol, 2nd: 1440 kJ/mol, 3rd: 2250 kJ/mol",175±10 pm,,hexagonal close-packed (hcp),,23.0 W/(m·K),paramagnetic,7440-58-6,,,"iso, NA, half-life, DM, DE (MeV), DP, 172Hf, syn, 1.87 y, ?, 0.350, 172Lu, 174Hf, 0.16%, 2×1015 y, ?, 2.495, 170Yb, 176Hf, 5.26%, 176Hf is stable with 104 neutrons, 177Hf, 18.60%, 177Hf is stable with 105 neutrons, 178Hf, 27.28%, 178Hf is stable with 106 neutrons, 178m2Hf, syn, 31 y, IT, 2.446, 178Hf, 179Hf, 13.62%, 179Hf is stable with 107 neutrons, 180Hf, 35.08%, 180Hf is stable with 108 neutrons, 182Hf, syn, 8.9×106 y, ??, 0.373, 182Ta",2689,"after Hafnia. Latin for: Copenhagen, where it was discovered",,13.31 g/cm3,empirical: 159 pm,3010 m/s (at 20 °C),5.9 µm/(m·K) (at 25 °C),331 n?·m (at 20 °C),78 GPa,30 GPa,110 GPa,5.5,1450–2100 MPa,0.37,1520–2060 MPa,,,,,,,Dmitri Mendeleev (1869),Dirk Coster and George de Hevesy (1922),,,,,,,,,,,
73,Tantalum,Ta,"tantalum, Ta","/?tænt?l?m/, TAN-t?l-?m, previously: /tæn?tæli?m/, tan-TAL-ee-?m",gray blue,73,"group 5, d-block",6,transition metal,180.94788(2),[Xe] 4f14 5d3 6s2,"2, 8, 18, 32, 11, 2",,solid,"3290 K (3017 °C, 5463 °F)","5731 K (5458 °C, 9856 °F)",,15 g/cm3,,,,36.57 kJ/mol,753 kJ/mol,25.36 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 3297, 3597, 3957, 4395, 4939, 5634","5, 4, 3, 2, 1, ?1, ?3 (a mildly acidic oxide)",Pauling scale: 1.5,"1st: 761 kJ/mol, 2nd: 1500 kJ/mol",170±8 pm,,"tetragonal, ?-Ta",,57.5 W/(m·K),paramagnetic,7440-25-7,Anders Gustaf Ekeberg (1802),,"iso, NA, half-life, DM, DE (MeV), DP, 177Ta, syn, 56.56 h, ?, 1.166, 177Hf, 178Ta, syn, 2.36 h, ?, 1.910, 178Hf, 179Ta, syn, 1.82 y, ?, 0.110, 179Hf, 180Ta, syn, 8.125 h, ?, 0.854, 180Hf, ??, 0.708, 180W, 180mTa, 0.012%, 180mTa is stable with 107 neutrons, 181Ta, 99.988%, 181Ta is stable with 108 neutrons, 182Ta, syn, 114.43 d, ??, 1.814, 182W, 183Ta, syn, 5.1 d, ??, 1.070, 183W",3297,,,16.69 g/cm3,empirical: 146 pm,3400 m/s (at 20 °C),6.3 µm/(m·K) (at 25 °C),131 n?·m (at 20 °C),186 GPa,69 GPa,200 GPa,6.5,440–3430 MPa,0.34,870–1200 MPa,,,,,,,,,,,,,,Heinrich Rose (1844),,,,,
74,Tungsten,W,"tungsten, W","/?t??st?n/; /?w?lfr?m/, TUNG-st?n; WUUL-fr?m","grayish white, lustrous",74,"group 6, d-block",6,transition metal,183.84(1),[Xe] 4f14 5d4 6s2,"2, 8, 18, 32, 12, 2",,solid,"3695 K (3422 °C, 6192 °F)","6203 K (5930 °C, 10,706 °F)",,17.6 g/cm3,,,,35.3 kJ/mol,774 kJ/mol,24.27 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 3477, 3773, 4137, 4579, 5127, 5823","6, 5, 4, 3, 2, 1, 0, ?1, ?2, ?4 (a mildly acidic oxide)",Pauling scale: 2.36,"1st: 770 kJ/mol, 2nd: 1700 kJ/mol",162±7 pm,,body-centered cubic (bcc),,173 W/(m·K),paramagnetic,7440-33-7,Carl Wilhelm Scheele (1781),Torbern Bergman (1781),"iso, NA, half-life, DM, DE (MeV), DP, 180W, 0.12%, 1.8×1018 y, ?, 2.516, 176Hf, 181W, syn, 121.2 d, ?, 0.188, 181Ta, 182W, 26.50%, 182W is stable with 108 neutrons, 183W, 14.31%, 183W is stable with 110 neutrons, 184W, 30.64%, 184W is stable with 111 neutrons, 185W, syn, 75.1 d, ??, 0.433, 185Re, 186W, 28.43%, 186W is stable with 112 neutrons",3477,,Juan José Elhuyar and Fausto Elhuyar (1783),19.25 g/cm3,empirical: 139 pm,4620 m/s (at r.t.) (annealed),4.5 µm/(m·K) (at 25 °C),52.8 n?·m (at 20 °C),411 GPa,161 GPa,310 GPa,7.5,2000–4000 MPa,0.28,3430–4600 MPa,,,,,,,,,wolfram,,,,,,,,,,
75,Rhenium,Re,"rhenium, Re","/?ri?ni?m/, REE-nee-?m",silvery-grayish,75,"group 7, d-block",6,transition metal,186.207(1),[Xe] 4f14 5d5 6s2,"2, 8, 18, 32, 13, 2",,solid,"3459 K (3186 °C, 5767 °F)","5903 K (5630 °C, 10,170 °F)",,18.9 g/cm3,,,,60.43 kJ/mol,704 kJ/mol,25.48 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 3303, 3614, 4009, 4500, 5127, 5954","7, 6, 5, 4, 3, 2, 1, 0, ?1, ?3 (a mildly acidic oxide)",Pauling scale: 1.9,"1st: 760 kJ/mol, 2nd: 1260 kJ/mol, 3rd: 2510 kJ/mol, (more)",151±7 pm,,hexagonal close-packed (hcp),,48.0 W/(m·K),paramagnetic,7440-15-5,Masataka Ogawa (1908),"Walter Noddack, Ida Noddack, Otto Berg (1922)","iso, NA, half-life, DM, DE (MeV), DP, 185Re, 37.4%, 185Re is stable with 110 neutrons, 187Re, 62.6%, 4.12×1010 y, ??, 0.0026, 187Os",3303,after the river Rhine (German: Rhein),Masataka Ogawa (1919),21.02 g/cm3,empirical: 137 pm,4700 m/s (at 20 °C),6.2 µm/(m·K),193 n?·m (at 20 °C),463 GPa,178 GPa,370 GPa,7,1320–2500 MPa,0.3,1350–7850 MPa,,,,,,,,,,,,,,,,,,,
76,Osmium,Os,"osmium, Os","/??zmi?m/, OZ-mee-?m","silvery, blue cast",76,"group 8, d-block",6,transition metal,190.23(3),[Xe] 4f14 5d6 6s2,"2, 8, 18, 32, 14, 2",,solid,"3306 K (3033 °C, 5491 °F)","5285 K (5012 °C, 9054 °F)",,20 g/cm3,,,,31 kJ/mol,378 kJ/mol,24.7 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 3160, 3423, 3751, 4148, 4638, 5256","8, 7, 6, 5, 4, 3, 2, 1, 0, ?1, ?2, ?4 (a mildly acidic oxide)",Pauling scale: 2.2,"1st: 840 kJ/mol, 2nd: 1600 kJ/mol",144±4 pm,,hexagonal close-packed (hcp),,87.6 W/(m·K),paramagnetic,7440-04-2,,,"iso, NA, half-life, DM, DE (MeV), DP, 184Os, 0.02%, 184Os is stable with 108 neutrons, 185Os, syn, 93.6 d, ?, 1.013, 185Re, 186Os, 1.59%, 2.0×1015 y, ?, 2.822, 182W, 187Os, 1.96%, 187Os is stable with 111 neutrons, 188Os, 13.24%, 188Os is stable with 112 neutrons, 189Os, 16.15%, 189Os is stable with 113 neutrons, 190Os, 26.26%, 190Os is stable with 114 neutrons, 191Os, syn, 15.4 d, ??, 0.314, 191Ir, 192Os, 40.78%, 192Os is stable with 116 neutrons, 193Os, syn, 30.11 d, ??, 1.141, 193Ir, 194Os, syn, 6 y, ??, 0.097, 194Ir",3160,,,22.59 g/cm3,empirical: 135 pm,4940 m/s (at 20 °C),5.1 µm/(m·K) (at 25 °C),81.2 n?·m (at 0 °C),,222 GPa,462 GPa,7,3490–4000 MPa,0.25,,,,,,,,,Smithson Tennant (1803),,,,,,,,,,,
